2016-8-8 11:39:46 [INFO] A user has disconnected from the site.
2016-8-8 11:39:46 [INFO] A user has connected to the site.
2016-8-8 11:39:57 [INFO] A user has disconnected from the site.
2016-8-8 11:39:58 [INFO] A user has connected to the site.
2016-8-8 11:39:59 [INFO] A user has disconnected from the site.
2016-8-8 11:39:59 [INFO] A user has connected to the site.
2016-8-8 11:40:00 [INFO] A user has disconnected from the site.
2016-8-8 11:40:00 [INFO] A user has connected to the site.
2016-8-8 11:40:01 [INFO] A user has disconnected from the site.
2016-8-8 11:40:02 [INFO] A user has connected to the site.
2016-8-8 11:42:42 [INFO] A user has disconnected from the site.
2016-8-8 11:42:42 [INFO] A user has connected to the site.
2016-8-8 11:42:43 [INFO] A user has disconnected from the site.
2016-8-8 11:42:43 [INFO] A user has connected to the site.
2016-8-8 11:42:44 [INFO] A user has disconnected from the site.
2016-8-8 11:42:44 [INFO] A user has connected to the site.
2016-8-8 11:42:46 [INFO] A user has disconnected from the site.
2016-8-8 11:42:47 [INFO] A user has connected to the site.
2016-8-8 11:42:57 [INFO] The application for jwpaisley.com has started.
2016-8-8 11:42:57 [INFO] A user has connected to the site.
2016-8-8 11:43:14 [INFO] The application for jwpaisley.com has restarted.
2016-8-8 11:43:14 [INFO] A user has connected to the site.
2016-8-8 11:43:15 [INFO] A user has disconnected from the site.
2016-8-8 11:43:15 [INFO] A user has connected to the site.
2016-8-8 11:43:18 [INFO] A user has disconnected from the site.
2016-8-8 11:43:18 [INFO] A user has connected to the site.
2016-8-8 11:43:19 [INFO] A user has disconnected from the site.
2016-8-8 11:43:19 [INFO] A user has connected to the site.
2016-8-8 11:43:21 [INFO] A user has disconnected from the site.
2016-8-8 11:43:21 [INFO] A user has connected to the site.
2016-8-8 11:43:23 [INFO] A user has disconnected from the site.
2016-8-8 11:43:23 [INFO] A user has connected to the site.
2016-8-8 11:43:24 [INFO] A user has disconnected from the site.
2016-8-8 11:43:24 [INFO] A user has connected to the site.
2016-8-8 11:43:25 [INFO] A user has disconnected from the site.
2016-8-8 11:43:26 [INFO] A user has connected to the site.
2016-8-8 11:43:27 [INFO] A user has disconnected from the site.
2016-8-8 11:43:27 [INFO] A user has connected to the site.
2016-8-8 11:43:29 [INFO] A user has disconnected from the site.
2016-8-8 11:43:29 [INFO] A user has connected to the site.
2016-8-8 11:43:29 [INFO] A user has disconnected from the site.
2016-8-8 11:43:29 [INFO] A user has connected to the site.
2016-8-8 11:43:31 [INFO] A user has disconnected from the site.
2016-8-8 11:43:31 [INFO] A user has connected to the site.
2016-8-8 11:43:31 [INFO] A user has disconnected from the site.
2016-8-8 11:43:31 [INFO] A user has connected to the site.
2016-8-8 11:43:33 [INFO] A user has disconnected from the site.
2016-8-8 11:43:33 [INFO] A user has connected to the site.
2016-8-8 11:43:33 [INFO] A user has disconnected from the site.
2016-8-8 11:43:34 [INFO] A user has connected to the site.
2016-8-8 11:43:34 [INFO] A user has disconnected from the site.
2016-8-8 11:43:34 [INFO] A user has connected to the site.
2016-8-8 11:43:52 [INFO] A user has disconnected from the site.
2016-8-8 11:43:52 [INFO] A user has connected to the site.
2016-8-8 11:43:53 [INFO] A user has disconnected from the site.
2016-8-8 11:43:53 [INFO] A user has connected to the site.
2016-8-8 11:43:57 [INFO] A user has disconnected from the site.
2016-8-8 11:43:57 [INFO] A user has connected to the site.
2016-8-8 11:43:58 [INFO] A user has disconnected from the site.
2016-8-8 11:43:58 [INFO] A user has connected to the site.
2016-8-8 11:43:58 [INFO] A user has disconnected from the site.
2016-8-8 11:43:58 [INFO] A user has connected to the site.
2016-8-8 11:44:24 [INFO] A user has disconnected from the site.
